district,subject of transaction,total land transfer area square meters,urban land use zoning,non-urban land Use zoning,non-urban land use planning,transaction year and month,number of transaction pens,transfer level,total floors,building type,main use,main building material,year and month of completion of construction,total area of building transfer square meters,construction status-room,construction status-hall,construction status-bathroom,construction status-compartment,with or without management organization,total price,unit price per square meter,parking category,Car displacement to total area square meters,total parking price,numbers
Banqiao,House and land (land + building),13.88,Living,,,1080424,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,690731.0,42.08,3,2,1,Yes,No,2500000,59411.0,,0.0,0,RPXSMLOLPHOFFAF07CA
Banqiao,House and land (land + building),31.75,Living,,,1080522,ground3 house1 park0,1,4,apartment,living,reinforced concrete construction,640610.0,91.14,0,0,0,No,No,16800000,184332.0,,0.0,0,RPUOMLQLPHOFFAF56CA
Banqiao,House and land (land + building),26.0,Living,,,1080528,ground2 house1 park0,3,4,apartment,living,reinforced concrete construction,660615.0,63.54,3,2,1,Yes,No,7000000,110167.0,,0.0,0,RPORMLLJQHOFFAF28CA
Xinzhuang,House and land (land + building),41.66,Living,,,1080418,ground4 house1 park0,2,4,apartment,living,reinforced concrete construction,670518.0,92.29,3,2,1,Yes,No,6250000,67721.0,,0.0,0,RPXRMLNLPHOFFBF96CA
Xinzhuang,House and land (land + building),19.9,Living,,,1080625,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,631018.0,60.56,2,1,1,Yes,No,6000000,99075.0,,0.0,0,RPRSMLNKQHOFFBF09CA
Xizhi,House and land (land + building),25.72,Living,,,1080513,ground3 house1 park0,4,4,apartment,living,reinforced concrete construction,690328.0,82.26,3,1,1,Yes,No,8500000,103331.0,,0.0,0,RPSNMLTLPHOFFDF86CA
Sanzhong,House and land (land + building),28.89,Living,,,1080531,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,671030.0,82.0,3,2,1,Yes,No,7550000,92073.0,,0.0,0,RPPQMLPLPHOFFGF76CA
Sanzhong,House and land (land + building),20.83,Living,,,1080619,ground1 house1 park0,1,4,apartment,business,reinforced concrete construction,660509.0,68.0,0,0,0,No,No,10000000,147059.0,,0.0,0,RPSPMLKMPHOFFGF56CA
Yonghe,House and land (land + building),36.36,Living,,,1080703,ground1 house1 park0,4,4,apartment,other,other,600903.0,79.37,3,1,1,Yes,No,8400000,105833.0,,0.0,0,RPQNMLNLPHOFFHF09CA
Zhonghe,House and land (land + building),28.43,Living,,,1080602,ground2 house1 park0,1,4,vendor,business,strengthen brickwork,640811.0,98.31,1,2,2,Yes,No,15000000,152579.0,,0.0,0,RPTOMLNLPHOFFHF86CA
Zhonghe,House and land (land + building),22.79,Living,,,1080708,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,680104.0,73.32,3,2,1,Yes,No,7800000,106383.0,,0.0,0,RPTPMLNLPHOFFHF96CA
Zhonghe,House and land (land + building) + parking space,184.31,Other,,,1080616,ground4 house1 park1,1,4,mansion,other,reinforced concrete construction,980904.0,499.699999999999,4,2,2,Yes,Yes,21800000,43626.0,parking area,31.27,0,RPPRMLLJQHOFFHF09CA
Zhonghe,House and land (land + building),44.13,Living,,,1080622,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,650706.0,113.8,6,1,6,Yes,No,8500000,74692.0,,0.0,0,RPSOMLQKQHOFFHF07CA
Zhonghe,House and land (land + building),24.25,Living,,,1080117,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,610912.0,61.1,3,1,1,Yes,No,6800000,111293.0,,0.0,0,RPPNMLTKQHOFFHF96CA
Zhonghe,House and land (land + building),28.44,Living,,,1080514,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,691203.0,104.5,3,2,1,Yes,No,9500000,90909.0,,0.0,0,RPWOMLQLPHOFFHF57DA
Taishan,House and land (land + building),47.8,Living,,,1080715,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,680907.0,100.9,4,1,2,Yes,No,5800000,57483.0,,0.0,0,RPORMLMLPHOFFBF78EA
Zhonghe,House and land (land + building),46.03,Living,,,1080622,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,680109.0,85.56,3,2,2,Yes,No,12100000,141421.0,,0.0,0,RPQQMLQLPHOFFHF17DA
Zhonghe,House and land (land + building),32.71,Living,,,1080627,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,670927.0,79.26,3,2,1,Yes,No,7000000,88317.0,,0.0,0,RPTOMLKMPHOFFHF76DA
Xindian,House and land (land + building),36.94,Living,,,1080602,ground5 house1 park0,4,4,apartment,living,reinforced concrete construction,620403.0,72.42,2,2,2,Yes,No,9800000,135322.0,,0.0,0,RPOPMLMJQHOFFCF48DA
Banqiao,House and land (land + building),23.75,Living,,,1080705,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,,75.45,0,1,1,Yes,No,7500000,99404.0,,0.0,0,RPROMLQLPHOFFAF98DA
Yonghe,House and land (land + building),39.04,Living,,,1080606,ground2 house2 park0,1,4,apartment,living,strengthen brickwork,621219.0,87.2,2,2,1,Yes,No,25800000,295872.0,,0.0,0,RPQPMLPLPHOFFHF86CA
Zhonghe,House and land (land + building),23.36,Living,,,1080706,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,610923.0,65.65,3,2,1,Yes,No,9500000,144707.0,,0.0,0,RPROMLOLPHOFFHF76CA
Sanzhong,House and land (land + building),33.07,Living,,,1080708,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,630701.0,95.55,4,2,3,Yes,No,11000000,115123.0,,0.0,0,RPQNMLPJQHOFFGF09CA
Luzhou,House and land (land + building),40.69,Living,,,1080507,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,671223.0,117.0,0,0,0,No,No,8200000,70085.0,,0.0,0,RPQQMLPLPHOFFGF86CA
Sanzhong,House and land (land + building),26.0,Living,,,1080706,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,640613.0,77.2,4,1,1,Yes,No,3500000,45337.0,,0.0,0,RPPQMLOLPHOFFGF66CA
Xizhi,House and land (land + building),39.74,Living,,,1080626,ground2 house1 park0,3,4,apartment,living,reinforced concrete construction,691014.0,92.42,3,2,1,Yes,Yes,5000000,54101.0,,0.0,0,RPOOMLOLPHOFFDF68CA
Xinzhuang,House and land (land + building),22.08,Living,,,1080710,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,670731.0,69.62,3,1,1,Yes,No,7500000,107728.0,,0.0,0,RPQOMLKLQHOFFBF38CA
Wugu,House and land (land + building),32.31,Living,,,1080628,ground4 house1 park0,2,4,apartment,living,reinforced concrete construction,690915.0,75.46,3,2,1,Yes,No,4088000,54174.0,,0.0,0,RPXNMLKMPHOFFBF98CA
Banqiao,House and land (land + building),25.44,Living,,,1080618,ground3 house1 park0,2,4,apartment,living,reinforced concrete construction,,73.11,3,2,1,Yes,No,4500000,61551.0,,0.0,0,RPTWNLLMPHOFFAF96CA
