district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
板橋區,房地(土地+建物),新北市板橋區中正路275巷62弄1~30號,13.88,住,,,1080424,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690731,42.08,3,2,1,有,無,2500000,59411,,0,0,親友、員工或其他特殊關係間之交易。;含增建部分一併移轉,RPXSMLOLPHOFFAF07CA
板橋區,房地(土地+建物),新北市板橋區懷德街76巷1~30號,31.75,住,,,1080522,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640610,91.14,0,0,0,無,無,16800000,184332,,0,0,含增建或未登記建物。;,RPUOMLQLPHOFFAF56CA
板橋區,房地(土地+建物),新北市板橋區中山路二段89巷6弄1~30號,26,住,,,1080528,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660615,63.54,3,2,1,有,無,7000000,110167,,0,0,,RPORMLLJQHOFFAF28CA
新莊區,房地(土地+建物),新北市新莊區福海街31巷1~30號,41.66,住,,,1080418,土地4建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670518,92.29,3,2,1,有,無,6250000,67721,,0,0,親友、員工或其他特殊關係間之交易。;,RPXRMLNLPHOFFBF96CA
新莊區,房地(土地+建物),新北市新莊區中港二街91~120號,19.9,住,,,1080625,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,631018,60.56,2,1,1,有,無,6000000,99075,,0,0,,RPRSMLNKQHOFFBF09CA
汐止區,房地(土地+建物),新北市汐止區福山街62巷1~30號,25.72,住,,,1080513,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690328,82.26,3,1,1,有,無,8500000,103331,,0,0,,RPSNMLTLPHOFFDF86CA
三重區,房地(土地+建物),新北市三重區新生街61~90號,28.89,住,,,1080531,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671030,82,3,2,1,有,無,7550000,92073,,0,0,含增建或未登記建物。;,RPPQMLPLPHOFFGF76CA
三重區,房地(土地+建物),新北市三重區重陽路一段130巷1弄1~30號,20.83,住,,,1080619,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,660509,68,0,0,0,無,無,10000000,147059,,0,0,,RPSPMLKMPHOFFGF56CA
永和區,房地(土地+建物),新北市永和區民有街1~30號,36.36,住,,,1080703,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,600903,79.37,3,1,1,有,無,8400000,105833,,0,0,,RPQNMLNLPHOFFHF09CA
中和區,房地(土地+建物),新北市中和區南山路31~60號,28.43,住,,,1080602,土地2建物1車位0,一層，騎樓,四層,店面(店鋪),商業用,加強磚造,640811,98.31,1,2,2,有,無,15000000,152579,,0,0,含增建或未登記建物。;,RPTOMLNLPHOFFHF86CA
中和區,房地(土地+建物),新北市中和區圓通路162巷1~30號,22.79,住,,,1080708,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680104,73.32,3,2,1,有,無,7800000,106383,,0,0,含增建或未登記建物。;,RPTPMLNLPHOFFHF96CA
